brand,year,fuel,transmission,km_driven,owner,mileage,engine,age,price
Kia,2019,Diesel,Manual,80150,Fourth,23.8,893,7,120195.91
Renault,2013,CNG,Manual,165713,First,7.3,1438,13,36950.75
Maruti,2022,CNG,Automatic,59419,First,25.3,1182,4,275500.03
Honda,2024,Diesel,Automatic,26923,First,30.7,1597,2,672784.12
Mahindra,2017,Petrol,Manual,110228,First,18.1,1417,9,149102.97
Honda,2025,Electric,Manual,11532,First,18.3,1057,1,743365.35
Maruti,2015,Petrol,Manual,123936,First,20.9,1322,11,59168.47
Maruti,2016,Petrol,Manual,119776,Second,18.9,1631,10,63513.93
Chevrolet,2017,Petrol,Manual,87986,Second,11.2,1008,9,68424.29
Maruti,2006,Petrol,Manual,234591,Third,14.6,1467,20,35000.0
Honda,2007,Diesel,Manual,244482,Fourth,17.1,853,19,35000.0
Mercedes,2021,Petrol,Manual,55022,First,21.9,1705,5,2244382.08
Tata,2020,Petrol,Manual,72953,Fourth,15.7,1241,6,121445.18
Tata,2010,Petrol,Manual,192048,First,19.8,1707,16,37103.62
Maruti,2013,Petrol,Manual,162927,First,18.8,1610,13,43280.87
Toyota,2017,Petrol,Manual,84555,First,19.5,600,9,148171.72
Maruti,2023,Petrol,Manual,32127,First,27.0,1299,3,316597.38
Hyundai,2025,CNG,Manual,11715,Second,12.5,1210,1,315692.29
Toyota,2022,Petrol,Manual,52934,First,14.0,935,4,389123.75
Mahindra,2007,Diesel,Manual,215754,Fourth,18.9,1557,19,35000.0
Maruti,2026,CNG,Automatic,9579,Test Drive,16.1,1604,0,541264.44
Honda,2014,Diesel,Manual,150134,Second,18.5,1345,12,71172.06
Mahindra,2013,Petrol,Manual,158721,First,20.7,1168,13,67669.14
Maruti,2012,Petrol,Manual,154759,Second,13.8,942,14,35000.0
Hyundai,2021,Petrol,Manual,63278,Third,20.5,600,5,150557.42
Mahindra,2008,Petrol,Manual,225501,First,18.8,1124,18,35000.0
Honda,2020,Diesel,Manual,77419,Fourth,14.2,1640,6,157701.95
Mahindra,2024,Petrol,Manual,28340,Third,14.2,1453,2,319588.95
Volkswagen,2010,Petrol,Manual,193198,First,19.6,1341,16,46869.22
Honda,2021,Petrol,Automatic,54845,Third,17.8,924,5,228914.56
Mercedes,2010,Diesel,Manual,179257,First,14.3,1379,16,288389.19
Mahindra,2008,LPG,Automatic,214790,First,19.7,1321,18,35000.0
Mahindra,2014,Diesel,Manual,139231,First,18.0,1578,12,95266.82
Volvo,2007,Electric,Manual,231956,First,21.9,1734,19,176136.85
Toyota,2009,Diesel,Manual,193153,Second,14.8,1756,17,42270.77
Volkswagen,2006,Diesel,Manual,240816,Third,18.3,1696,20,35000.0
Tata,2011,Petrol,Manual,178113,First,17.3,1205,15,38343.26
Maruti,2006,Petrol,Automatic,237895,Second,15.3,1783,20,35000.0
Renault,2017,Diesel,Manual,121750,Second,8.7,600,9,65651.81
Volkswagen,2010,Petrol,Manual,200152,First,22.1,1364,16,50099.56
Maruti,2026,Petrol,Manual,23783,Third,8.2,803,0,226975.58
Mahindra,2019,Petrol,Automatic,77113,Second,27.8,1930,7,250269.42
Maruti,2025,Petrol,Manual,11321,First,11.6,1033,1,346543.4
Hyundai,2018,Petrol,Manual,89598,Second,20.5,1296,8,111372.69
Kia,2022,Petrol,Automatic,56060,First,17.0,1562,4,464092.74
Tata,2019,Petrol,Manual,75533,First,12.7,1129,7,151659.72
Maruti,2019,Petrol,Manual,102253,First,19.2,1610,7,126046.05
Kia,2023,CNG,Manual,21515,First,9.0,881,3,369882.67
Volkswagen,2007,Petrol,Automatic,232191,First,20.9,1098,19,36229.58
Skoda,2023,Petrol,Automatic,36692,First,19.3,1022,3,558625.35
Hyundai,2009,Petrol,Automatic,217468,Second,15.9,1665,17,35000.0
Nissan,2009,LPG,Manual,211738,First,24.1,1021,17,35000.0
Tata,2013,Petrol,Manual,152142,First,22.0,1334,13,54895.26
Tata,2012,Diesel,Manual,173296,Second,20.6,1507,14,43657.95
Chevrolet,2023,CNG,Manual,31202,First,24.5,1427,3,253297.11
Renault,2013,CNG,Manual,156483,First,19.0,835,13,37460.2
Honda,2023,Petrol,Manual,18966,Second,19.0,1595,3,336512.41
Audi,2017,Petrol,Manual,91324,Third,20.5,1563,9,642326.5
MG,2021,Petrol,Manual,50559,First,21.2,1063,5,413096.18
Hyundai,2018,CNG,Manual,84119,First,22.8,1033,8,126848.01
Honda,2022,Petrol,Manual,35288,First,17.5,1559,4,312951.32
Maruti,2018,LPG,Manual,110875,Second,19.9,1530,8,94110.41
Mahindra,2012,Petrol,Manual,159740,First,27.2,1414,14,59456.76
Hyundai,2014,CNG,Manual,133664,Fourth,19.4,1969,12,41596.79
Tata,2006,Diesel,Manual,247330,First,11.1,1601,20,35000.0
Hyundai,2025,Electric,Manual,19676,Third,11.9,1590,1,427271.74
Chevrolet,2018,Diesel,Manual,98329,First,23.9,1729,8,103176.87
Toyota,2007,Petrol,Manual,237990,First,13.7,1417,19,35000.0
Nissan,2023,Petrol,Manual,50898,First,20.4,1236,3,316653.72
MG,2018,Petrol,Manual,92066,First,15.7,1543,8,233416.42
Tata,2019,Petrol,Automatic,71456,Second,23.0,1778,7,171501.12
Hyundai,2018,Petrol,Automatic,94262,First,17.2,1436,8,175578.39
Mahindra,2008,Petrol,Manual,221963,Second,16.9,974,18,35000.0
Tata,2019,Petrol,Manual,60355,First,13.0,1692,7,163399.13
Maruti,2021,Petrol,Manual,78606,First,24.1,1192,5,179988.17
Maruti,2018,Diesel,Manual,107737,Second,17.5,2104,8,110216.82
Honda,2014,Diesel,Automatic,147677,First,22.0,1314,12,87288.31
Toyota,2019,Petrol,Automatic,93000,First,17.9,600,7,232776.4
Hyundai,2017,Electric,Manual,111599,First,20.3,1340,9,152454.81
Renault,2007,Petrol,Manual,230626,First,18.7,1084,19,35000.0
Tata,2023,Petrol,Manual,26799,Second,20.8,886,3,259601.03
Hyundai,2020,Petrol,Manual,75989,First,9.6,1284,6,197866.75
Hyundai,2013,Petrol,Manual,142541,First,18.8,1049,13,59054.81
Mahindra,2007,CNG,Automatic,226126,Second,17.2,1151,19,35000.0
Maruti,2020,Petrol,Manual,74475,First,21.9,892,6,178965.91
Hyundai,2005,Diesel,Automatic,264130,Test Drive,17.0,1593,21,35000.0
Hyundai,2023,LPG,Manual,40409,Second,19.6,751,3,211399.93
Chevrolet,2018,Petrol,Automatic,90171,Second,21.1,1583,8,112090.51
Kia,2021,Diesel,Automatic,54921,First,13.3,1356,5,387713.12
Toyota,2008,Petrol,Automatic,215896,Second,12.2,858,18,35000.0
Tata,2012,Petrol,Manual,172401,First,15.2,1258,14,35000.0
Honda,2026,Petrol,Manual,908,First,12.4,1239,0,576673.23
MG,2008,Petrol,Automatic,207459,First,17.8,1696,18,54412.14
Hyundai,2014,Petrol,Manual,145562,First,17.1,1165,12,61321.77
Hyundai,2007,Petrol,Automatic,251313,First,10.9,1413,19,35000.0
Maruti,2010,Diesel,Automatic,193539,First,22.5,600,16,35326.73
Maruti,2023,Petrol,Manual,35863,Second,19.1,1679,3,218525.5
Toyota,2024,CNG,Manual,28024,Second,8.3,1526,2,356832.07
Tata,2019,Diesel,Manual,79947,Second,23.1,1487,7,156955.29
Tata,2016,Petrol,Automatic,126014,Fourth,18.5,2135,10,61368.08
Mahindra,2019,Electric,Manual,84015,First,19.1,1055,7,263807.2
MG,2015,CNG,Manual,119079,Second,22.0,1427,11,104617.37
Maruti,2015,Diesel,Manual,126883,First,20.6,1111,11,72429.3
Honda,2009,LPG,Manual,202758,Second,12.5,1113,17,35000.0
Tata,2014,Petrol,Manual,134976,First,16.0,1349,12,51552.92
Tata,2022,Petrol,Manual,56199,Second,17.3,1096,4,176867.37
Tata,2007,Electric,Automatic,223772,Third,20.4,831,19,35000.0
Maruti,2008,Petrol,Automatic,216780,First,14.2,1114,18,35000.0
Mahindra,2014,Diesel,Manual,139867,Second,21.7,821,12,73198.23
Skoda,2024,Petrol,Manual,28052,First,12.8,1534,2,535694.4
Maruti,2024,Petrol,Manual,19048,Second,15.4,1102,2,285079.54
Tata,2021,Diesel,Manual,60563,Second,13.3,1027,5,179908.14
Maruti,2021,Petrol,Manual,52657,First,29.2,1142,5,221378.41
Toyota,2014,Petrol,Manual,133225,Third,18.8,907,12,73519.03
Maruti,2014,Petrol,Automatic,153703,First,22.4,742,12,54513.69
Hyundai,2016,Petrol,Manual,117593,First,10.6,1186,10,82736.07
Maruti,2007,Petrol,Manual,225564,First,16.4,1332,19,35000.0
Kia,2025,Petrol,Automatic,500,Third,10.1,1395,1,474201.02
Hyundai,2019,Electric,Automatic,81913,First,9.6,1569,7,251538.15
Tata,2017,Diesel,Manual,120470,First,14.5,1220,9,109532.11
Hyundai,2005,Petrol,Manual,253756,First,17.0,1817,21,35000.0
Hyundai,2012,Petrol,Manual,157517,Third,9.8,1311,14,35000.0
Maruti,2026,Petrol,Manual,17376,First,19.9,1057,0,419294.37
Audi,2011,Petrol,Manual,171323,First,23.7,1658,15,292621.78
Maruti,2017,CNG,Manual,114975,First,15.8,1084,9,69262.01
Chevrolet,2008,Petrol,Manual,227402,First,11.5,1553,18,35000.0
Renault,2012,Petrol,Manual,169597,Second,11.8,1490,14,35000.0
Toyota,2005,Diesel,Manual,247347,First,11.8,1458,21,35000.0
BMW,2017,Petrol,Automatic,112952,First,13.4,1311,9,770314.41
Jeep,2025,CNG,Automatic,16414,Second,6.3,1716,1,640089.08
Honda,2019,Petrol,Automatic,92215,First,10.3,1695,7,205534.43
Hyundai,2017,Electric,Automatic,113859,First,11.1,1158,9,138309.85
Renault,2007,CNG,Manual,222581,Third,14.8,853,19,35000.0
Ford,2009,Electric,Manual,197982,First,14.4,995,17,38700.19
Volkswagen,2008,Petrol,Automatic,207803,First,21.6,879,18,37841.01
Maruti,2011,CNG,Manual,178110,First,15.1,1469,15,35000.0
Maruti,2009,Petrol,Manual,204837,First,24.8,830,17,35000.0
Maruti,2014,Petrol,Manual,145365,First,15.8,1310,12,48609.82
Mahindra,2008,Petrol,Manual,205118,First,19.6,1490,18,35000.0
Mahindra,2005,Diesel,Manual,251267,Second,15.9,2074,21,35000.0
Toyota,2026,Petrol,Manual,11246,Test Drive,13.6,1716,0,860756.33
Toyota,2017,Electric,Manual,109274,First,17.9,1068,9,213173.29
Nissan,2021,Electric,Manual,49332,First,12.1,1497,5,236663.21
Honda,2016,Petrol,Automatic,125275,First,16.4,1339,10,127679.57
Ford,2015,Diesel,Manual,137280,First,25.7,1032,11,77344.08
Audi,2008,Diesel,Manual,207016,Third,21.1,871,18,144545.83
Hyundai,2019,Petrol,Automatic,69518,Fourth,15.6,917,7,99572.04
Honda,2021,Petrol,Manual,58617,First,21.9,1288,5,303461.69
Hyundai,2010,Petrol,Manual,192451,First,12.9,1287,16,35000.0
Honda,2005,Petrol,Manual,242770,First,18.6,1657,21,35000.0
Tata,2022,Petrol,Automatic,53035,Second,18.5,1586,4,268915.7
Skoda,2016,Petrol,Automatic,132347,First,19.0,699,10,130543.71
Maruti,2019,Diesel,Manual,77614,Third,18.8,1436,7,116849.82
Toyota,2021,Petrol,Manual,60501,First,18.4,1375,5,366477.68
Hyundai,2021,Petrol,Manual,61545,First,26.8,1116,5,259374.43
BMW,2016,Petrol,Automatic,122592,Second,14.8,1176,10,549313.29
Maruti,2009,Diesel,Manual,225631,Third,19.6,1048,17,35000.0
Mahindra,2023,Diesel,Manual,35491,First,20.9,1003,3,429757.85
Kia,2010,Petrol,Manual,186049,Second,15.9,969,16,35561.79
Toyota,2009,CNG,Manual,190326,First,15.0,1084,17,35000.0
Toyota,2021,Petrol,Automatic,63848,First,20.0,1511,5,399050.12
Honda,2014,Diesel,Manual,130075,Fourth,18.1,1257,12,51164.05
Honda,2024,Petrol,Manual,24294,First,18.7,650,2,422556.75
Mahindra,2016,Petrol,Manual,118585,First,18.4,1511,10,133303.6
Tata,2007,Diesel,Manual,234323,First,21.9,1752,19,35000.0
Tata,2025,Petrol,Automatic,6805,First,12.1,1332,1,460888.88
Volkswagen,2017,CNG,Manual,112634,Second,26.7,1397,9,133388.1
Maruti,2023,Petrol,Automatic,27648,First,17.8,1268,3,302424.86
Hyundai,2009,Diesel,Manual,207938,First,15.5,746,17,35000.0
Maruti,2026,Diesel,Automatic,17401,Second,8.5,1661,0,395889.27
Tata,2017,Diesel,Automatic,101721,Test Drive,18.6,1231,9,150991.06
Hyundai,2014,Petrol,Automatic,140356,First,19.7,918,12,74043.46
Maruti,2011,Electric,Manual,175627,First,10.1,1732,15,37834.81
BMW,2010,Petrol,Manual,197579,Second,27.1,1639,16,182078.8
Maruti,2020,Diesel,Manual,79421,Second,28.3,1037,6,151870.13
Maruti,2006,Petrol,Automatic,236522,First,19.5,1127,20,35000.0
Tata,2024,Petrol,Automatic,34950,First,18.2,1473,2,437989.66
Hyundai,2026,Petrol,Manual,15355,First,23.0,1699,0,595261.39
Honda,2005,CNG,Manual,259997,First,14.4,756,21,35000.0
Maruti,2008,Petrol,Automatic,222676,Test Drive,22.2,1595,18,35000.0
Volkswagen,2023,Petrol,Manual,34589,Test Drive,15.2,1825,3,528390.68
Mahindra,2012,Diesel,Automatic,158518,Third,9.3,1352,14,47014.98
Hyundai,2016,Diesel,Automatic,123842,First,28.1,1818,10,150361.39
Tata,2025,Petrol,Automatic,10092,First,17.5,1857,1,541781.54
Renault,2007,Diesel,Manual,225810,Second,21.2,763,19,35000.0
Ford,2006,Electric,Manual,248984,Second,17.8,613,20,35000.0
Hyundai,2020,Petrol,Manual,70533,First,15.4,1506,6,191835.77
Renault,2016,Diesel,Automatic,124607,Second,14.5,723,10,76302.59
Tata,2026,Diesel,Manual,500,Second,12.2,1688,0,530931.16
Mahindra,2024,Petrol,Manual,9110,Third,16.9,1842,2,396815.07
Maruti,2013,Petrol,Automatic,170576,First,11.9,1659,13,40667.47
Honda,2009,Diesel,Automatic,190592,First,14.1,1396,17,44184.49
Nissan,2025,Petrol,Manual,18554,First,28.4,1168,1,465220.22
Chevrolet,2024,Diesel,Manual,28329,First,14.7,1156,2,311003.11
Toyota,2020,Petrol,Manual,61494,First,17.4,883,6,265499.46
Hyundai,2014,Petrol,Manual,144129,First,16.2,1148,12,61168.89
Kia,2025,Diesel,Manual,18097,Second,16.9,1935,1,556239.05
Volkswagen,2023,Petrol,Manual,36856,First,21.4,1782,3,507211.24
Jeep,2014,Petrol,Manual,161685,First,17.5,600,12,103805.53
Ford,2008,Petrol,Manual,219875,First,22.9,1621,18,35000.0
Tata,2019,Petrol,Manual,85729,First,21.2,1343,7,154417.73
Volkswagen,2018,Diesel,Manual,94278,Second,25.1,1225,8,164688.76
Maruti,2020,Petrol,Manual,67664,First,22.6,1489,6,181221.47
Kia,2009,Diesel,Manual,197077,First,11.5,1515,17,39768.35
Chevrolet,2014,Diesel,Manual,140103,Second,16.8,2007,12,43793.88
Mahindra,2014,Petrol,Automatic,127319,Second,19.6,1166,12,73438.21
Hyundai,2013,Diesel,Automatic,166625,Third,24.7,1696,13,46404.04
Toyota,2023,Diesel,Manual,54183,First,20.6,1815,3,560284.02
Mahindra,2020,Petrol,Manual,82978,First,14.0,1638,6,237241.95
Tata,2016,CNG,Manual,131281,Third,19.2,1518,10,52842.93
Volvo,2008,Diesel,Automatic,225903,First,19.1,630,18,158760.68
Hyundai,2014,Diesel,Manual,153431,First,14.4,952,12,57924.87
Maruti,2021,Petrol,Manual,56862,First,10.6,1062,5,171593.56
Toyota,2017,Diesel,Automatic,102535,First,24.1,1374,9,223300.16
Hyundai,2022,Petrol,Manual,48721,First,14.1,1280,4,266445.73
MG,2021,CNG,Manual,57366,Second,17.1,1532,5,292823.82
Tata,2005,Diesel,Automatic,250748,First,24.6,1120,21,35000.0
MG,2013,Petrol,Manual,166292,First,14.7,1292,13,71764.07
Maruti,2014,Petrol,Automatic,138399,First,16.6,799,12,53918.92
Maruti,2017,Petrol,Automatic,102754,First,20.8,1802,9,117356.61
Toyota,2022,Petrol,Automatic,33812,Second,19.8,1731,4,451919.0
Honda,2008,Diesel,Manual,201948,First,17.0,1750,18,35000.0
Mercedes,2007,CNG,Automatic,235634,Third,20.0,1350,19,133525.84
Nissan,2006,Petrol,Manual,249489,First,18.8,1238,20,35000.0
Volvo,2011,Diesel,Automatic,179401,First,13.4,1250,15,224156.33
Hyundai,2008,Petrol,Manual,217405,First,23.2,692,18,35000.0
Ford,2020,LPG,Manual,61884,Third,13.3,844,6,124258.27
Tata,2016,Diesel,Manual,118118,Second,27.8,1787,10,93899.43
Mahindra,2018,Petrol,Manual,104368,Second,16.1,1241,8,144433.53
Maruti,2007,Petrol,Manual,236632,First,13.2,1523,19,35000.0
Ford,2018,Electric,Automatic,103113,Second,15.8,1057,8,137177.5
Hyundai,2006,Petrol,Manual,244613,Second,17.0,1242,20,35000.0
Honda,2018,Diesel,Manual,108036,First,15.4,1475,8,178267.08
Maruti,2006,Diesel,Manual,235386,First,16.2,1817,20,35000.0
Nissan,2015,Petrol,Automatic,136482,First,17.0,1500,11,78731.83
Honda,2019,Petrol,Manual,77155,Second,18.4,1904,7,161407.52
Maruti,2014,Petrol,Manual,140635,First,15.9,1302,12,49092.29
Maruti,2010,Petrol,Manual,179674,First,19.2,1536,16,35000.0
Maruti,2009,Electric,Manual,223951,Second,14.3,1643,17,35000.0
Mahindra,2008,Petrol,Manual,217845,Fourth,22.8,1326,18,35000.0
Jeep,2018,CNG,Manual,91458,Second,15.5,1575,8,251249.67
Maruti,2006,Petrol,Automatic,233424,First,24.3,1278,20,35000.0
Ford,2018,Diesel,Manual,120476,Second,13.7,859,8,103090.97
Tata,2006,CNG,Manual,234579,First,13.7,636,20,35000.0
MG,2023,Diesel,Manual,38444,First,21.6,1563,3,698493.68
Kia,2009,Petrol,Automatic,200822,First,16.7,1013,17,40597.91
Maruti,2012,CNG,Automatic,158316,Fourth,21.9,1327,14,35000.0
Hyundai,2010,Petrol,Manual,187703,First,16.4,1314,16,35000.0
Tata,2013,Diesel,Automatic,155991,Second,9.1,1425,13,53408.55
Mahindra,2023,Petrol,Manual,30224,First,18.9,854,3,392541.26
BMW,2008,Petrol,Manual,213506,First,15.0,1604,18,174621.75
BMW,2011,Diesel,Manual,191373,Second,16.4,1037,15,230889.97
Maruti,2021,Petrol,Automatic,72800,Second,19.7,1554,5,204354.71
Maruti,2021,Petrol,Manual,39871,First,9.5,943,5,184365.36
Maruti,2013,CNG,Manual,158435,First,15.1,1309,13,35000.0
MG,2010,Diesel,Manual,200224,First,17.8,1289,16,55858.51
Volkswagen,2014,Diesel,Automatic,142999,First,15.6,2104,12,117302.1
Maruti,2014,Diesel,Automatic,140423,Second,18.8,1855,12,62535.64
Mahindra,2022,Petrol,Automatic,44116,First,14.9,876,4,438910.87
Toyota,2014,Petrol,Automatic,159729,Second,11.8,1207,12,70709.83
Mahindra,2006,Petrol,Manual,237174,First,16.3,1341,20,35000.0
Hyundai,2018,Petrol,Manual,79642,Third,13.1,1825,8,110714.77
Maruti,2012,Petrol,Manual,157133,Fourth,14.6,1395,14,35000.0
Ford,2013,Petrol,Manual,159894,First,18.6,1266,13,46664.84
Mahindra,2005,Diesel,Manual,253606,Second,16.5,1469,21,35000.0
Hyundai,2014,Petrol,Manual,136771,First,17.7,1142,12,58666.61
Toyota,2010,Petrol,Manual,193593,Second,27.9,1359,16,44408.34
Honda,2024,Petrol,Manual,17237,Test Drive,21.4,1372,2,473567.35
Renault,2008,Petrol,Manual,205929,Second,22.2,1136,18,35000.0
Maruti,2023,Petrol,Automatic,26706,First,14.4,1353,3,335690.97
Mahindra,2006,Petrol,Manual,230929,First,23.3,1070,20,35000.0
MG,2020,Diesel,Manual,80421,Third,17.7,1315,6,258670.93
Hyundai,2022,Petrol,Manual,60927,First,21.1,1400,4,295584.23
Maruti,2015,Petrol,Manual,134668,Second,18.7,1540,11,56875.08
Maruti,2017,Diesel,Automatic,110957,Third,20.7,1065,9,82951.1
Maruti,2025,Petrol,Manual,20525,First,20.1,1990,1,417659.73
Volkswagen,2010,Petrol,Manual,194978,First,21.3,1260,16,51508.18
Maruti,2012,Diesel,Manual,166927,First,15.6,1028,14,41765.18
Tata,2013,Petrol,Manual,160438,Fourth,20.7,1074,13,35000.0
Tata,2007,CNG,Manual,236513,First,20.8,1641,19,35000.0
Toyota,2007,Diesel,Manual,231040,First,14.1,775,19,35000.0
Tata,2026,Petrol,Manual,6214,Second,16.6,823,0,361410.39
Maruti,2026,Electric,Manual,1585,Fourth,17.2,1658,0,358617.75
